SYCP2L,TFCP2L1,LYPD6B,ITGAD,LINC02273,UNC5B,CFAP210,LAIR2,CFAP97D2,B3GNT7,SLC7A8,SCGB1A1,GSDMA,CPLX2,MXRA7,LINC02848,ELAPOR2,HOXB2,USP18,PPP1R9A,TRIM15,CNN1,LINC00607,EPB41L4A,CLIC3,MT.ND1,MMRN1,ZNF595,IRIS
8.20757916878256,6.71559502294726,6.10620085471816,5.04139409393234,7.37635154075063,5.68560165890608,8.43997003011908,7.03817867005782,7.48205588473091,7.60503723291119,5.82627226805074,5.1528806229113,5.2476102149114,7.69661568300349,8.42467242146641,6.39366621347689,8.3940347159398,6.94072270112215,6.84777673444692,8.20599194984229,5.55446392827585,5.71608732137584,4.87816928692512,8.83788522675243,7.51139447346129,11.2201421251601,10.7865364339082,9.05061053538939,IS
7.92263017842593,7.21598458996421,6.48993680722123,5.64867189241438,7.39627169995717,5.77373547101117,8.67681078008428,7.1744068750495,7.30331588608602,7.99272104168465,5.9619587157276,5.28127971875939,5.28071242099254,7.90948460171056,9.12549725825779,6.15378333360786,8.41132554535495,7.00122849741369,7.06054575852505,8.18962543273345,5.27981696172299,5.86167376204225,6.06353615957973,9.45108496206663,7.41063920280197,11.1918223384593,10.6353826711629,9.14564623073189,IS
7.92370465244023,5.23186113265764,7.48365236064705,6.03104167613806,8.77246672358548,6.58350179718056,8.35318141114498,7.82576592989532,7.66552475015092,8.17284979230667,6.72817950271197,6.03498135200178,5.49160033974746,8.18296598166236,8.54751812771288,4.97988403667789,9.53532979305394,6.74143122674606,8.05023002995817,9.14145183924219,5.47696476149707,6.19503147211289,5.26185760557077,9.15767503231099,7.67848028514426,11.6112827474409,10.6297552746392,9.19606031790348,IS
7.79384479733632,5.58325727143106,6.46910642613312,5.94246901281426,8.32316703942539,6.18070458092408,8.74848297051373,8.45523734920616,7.41796527894611,7.94491078875225,6.09595148048929,5.69411608285328,5.72443829173056,7.71755839122623,8.66782235018142,5.82460355809761,9.83053587913878,6.58885277148816,7.92083135883679,8.59983755477232,5.00370065335884,5.56083825121801,6.48558752462271,9.22188752319733,8.25362256290979,11.6314763905191,10.031532093033,9.27446490901994,IS
6.50148514611262,6.07674223023765,5.9081477672182,6.05914898243579,8.45307274116492,4.89745575117253,8.91028211416779,7.89863092660447,6.84319232800091,7.90722014218065,6.01771353113048,4.82032642200259,5.48585421010021,8.21073841219995,8.4897105829408,6.24613889024639,9.57761417221378,5.97430670059446,8.32714854618185,8.51028055989722,5.0214632113831,6.44023233678769,5.86112545009844,8.72652163777821,7.51884612480992,11.9019516176352,10.3147921278871,9.20273472414028,IS
6.59513974039551,6.14383806301724,6.08837522609374,6.10823805377716,8.15879441892966,5.74367295762242,9.00882414790978,7.76554865296059,6.87656318136681,7.95177498593019,6.38792153881705,4.97085696799753,5.53782944310492,7.70930959829179,8.2982849506333,6.24624741501008,9.75788844632773,5.87966988684269,7.99458418547792,8.70699951132582,4.69389028677497,6.143796333467,6.06206166762342,8.77229901637877,8.04076421154162,11.6288232373937,10.1587353258158,9.06326471599482,IS
6.11513444649766,6.04892445575165,7.86307670694585,5.4433681465589,7.54179329461532,6.03199628389267,8.60848210480234,7.47898992463433,7.22193647971226,6.9350230394943,5.90914457317137,4.78286562013933,5.14275093383315,6.9559339762083,8.05736375960136,7.3095224605616,9.68916911276299,6.85482572452294,7.38350928997641,8.83272310332801,4.67205617501399,5.3470352241213,6.74199309947235,8.85792739091728,7.31341165439891,11.6626562869452,10.9051655775177,8.87567232274529,IR
6.41087826795036,6.10674594745777,7.54335374600974,6.50490315205418,7.61850447149022,6.10781356308566,8.27798860013832,7.78910341445591,6.80269005916593,7.42976758138989,5.53719585659065,5.44965311626643,5.38802781318539,7.696982936203,8.82243012422583,6.50441960349395,10.0944545191368,6.55610906308061,7.72733042548247,8.27331235714507,4.60070227640518,5.5538938024986,5.8124095907351,8.75660658056417,7.00927238315214,11.2105382833349,10.8056042733238,8.62619600505558,IR
8.72686171615688,6.1656983411603,6.56346533274987,5.75245941270377,6.92580347320526,5.91122011194534,8.1594260078317,6.88077778015548,7.35716471807362,7.952468943687,7.0407012497978,5.69186837499416,5.7780648578734,7.71614802687281,9.68527968726745,6.7249457289477,9.70969184954012,6.81982326757061,6.96129657914036,7.29881832247476,4.13840469087206,6.22851305388705,5.62640031140728,9.34460680521953,8.03163619915341,12.1639892848346,10.4338785079576,9.35811337889705,IS
7.33375847841077,5.82864378397008,6.06534754883017,6.08930738298011,7.27654076258959,6.21749062892073,8.13466095363873,7.03314221053492,6.9607684905933,7.1331445511186,6.15889451659448,5.46450827606123,5.02131291982719,7.5998092066178,9.56687702040259,6.76708012466335,9.80977637362462,6.47057461935257,7.14121601592214,7.49810801830878,5.58586154992761,5.80149967783587,6.36077999844148,9.14953005824385,7.38475511620497,12.0413444345063,10.0808960118323,9.22620428836026,IS
7.78666290773141,8.08675000024406,6.699942284965,4.77247776702978,8.460324929174,5.91835421557411,9.18901419606828,7.85174934227126,6.88870629080127,7.62613374650156,6.38522429579517,4.84066578021389,5.71700985262431,6.53690437792929,8.35320645316878,5.93926030123254,9.48823122594171,6.49896399171014,6.97784191057193,7.3331547771714,4.37044607367667,5.90889763196455,6.76635640419112,7.83358164901874,7.67803903201881,11.0533753586204,10.7772124035532,9.29219969871397,IR
7.80804368838099,7.57485179781885,7.12503301738916,5.81199123749567,8.09820909709934,6.16264204575631,9.07981870036074,8.41366472409131,7.41876877798269,7.30450112868328,6.12846426120689,4.6540448442187,6.23059967087316,6.91866401157013,8.64985540875232,5.7150875528002,9.62674496068177,7.03932610176876,7.84835472340736,7.4367116528629,4.8224159215705,5.58653213765415,6.03006776122838,8.27977548098427,7.85277411074461,11.7478312249965,11.0399342110434,9.34710435282534,IR
6.57789233719555,6.37422345317309,6.73168703340973,5.56402770260105,7.26997980348662,4.91777828136897,8.54936144836266,8.53235264786874,7.65438312277613,6.63104827023651,6.5073407766274,6.0328225683467,5.96322907466894,7.24141374781686,8.52985727713358,6.88143010182304,9.81137504267433,7.17666229337962,7.31196603390166,7.72812995350785,4.71318898593907,5.4491944865255,6.99208727539408,8.11235603384952,7.74758435255317,11.6660285020778,10.9129068596734,9.09272905409956,IR
6.46849719124568,6.43285074842785,6.20717458758436,5.82423733444751,7.38051358462018,5.39613396580778,8.78671196344664,8.37269964848536,7.25875244587818,7.21662661084782,6.54793917032624,5.19194915781112,5.32485531781687,7.49624732071017,8.51389578537004,6.97798237951273,10.2851565354489,7.32954605133514,7.22936817627001,7.97368137013642,4.65436513449656,5.28462478148058,6.76358759877565,8.43297816210067,7.39927456357895,11.3634626568617,10.8625460347109,9.23101520450335,IR
7.62903743315874,4.76839462416526,5.82509151529334,8.73008748583231,7.65240943565358,7.10895488389743,8.43681329365131,7.00894888556181,8.4402431516565,8.35457436902271,6.58866730520696,5.28788436083737,5.39732689598601,7.61067369113755,9.73473347486967,5.20162327326138,10.2000974474395,7.34925750065648,7.36696838008402,8.69287724417051,4.42596560747766,5.12104691218017,5.40588590780046,8.79298776152525,7.69358115289614,12.7923753533657,9.99310183169326,9.35864605789292,IS
7.61727668270387,5.80009817644274,6.44920475637832,8.24774982996988,6.99312932070122,6.27589998868276,7.92618187665097,7.1026721733175,8.05228979546215,8.22085062107432,6.2480222704923,5.50509028299098,5.50780688340556,7.67757012967941,9.77932019742751,5.936147259152,10.3949258733474,7.60239226630367,6.95279160779691,8.68687174484359,5.14570220852134,5.08472937026565,5.74404447908598,9.16325084994633,8.04432496058248,12.0983974989844,10.2408190315291,9.17096010960742,IS
7.96267583399296,5.99788565643369,7.10002230959666,5.93715599995358,7.9827916873198,6.03733295585801,7.41162840674528,8.12810800710072,6.83824837623967,6.45577930811407,6.31242182952397,6.81392776568786,5.47536079318514,7.20722456463409,9.0252457279821,7.83832149285832,9.72150365828102,6.77894428864687,7.66766160302709,7.65758777766842,4.99123162535292,5.31257094170528,5.59963913182016,8.52184590367098,7.55231873334574,11.1359525114269,10.117781886122,8.7364745769229,IR
